epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,294.214,1.96542,1.15443,0.97005,0.48543,0.482,0.4592,0.21261,2.39974,1.7241,1.23229,0.000359676,0.000359676,0.000359676
109,296.769,1.96381,1.16099,0.97015,0.51617,0.5173,0.4771,0.20391,2.45204,1.75402,1.24302,0.000357842,0.000357842,0.000357842
110,299.313,1.95745,1.14581,0.95899,0.52019,0.53722,0.50838,0.22949,2.41155,1.77569,1.23562,0.000356007,0.000356007,0.000356007
111,301.858,1.9587,1.16133,0.94412,0.49805,0.53593,0.48382,0.20492,2.418,1.75633,1.23702,0.000354172,0.000354172,0.000354172
112,304.41,1.93602,1.12747,0.96522,0.48121,0.53028,0.49669,0.20689,2.39778,1.72522,1.22493,0.000352337,0.000352337,0.000352337
113,306.895,1.958,1.14276,0.96516,0.48101,0.5133,0.46164,0.21012,2.37889,1.79291,1.23243,0.000350502,0.000350502,0.000350502
114,309.389,1.93458,1.13523,0.95914,0.50202,0.51011,0.49995,0.23682,2.38297,1.69104,1.24877,0.000348668,0.000348668,0.000348668
115,311.948,1.98732,1.16062,0.94834,0.46507,0.50149,0.44814,0.19637,2.43254,1.77854,1.25835,0.000346833,0.000346833,0.000346833
116,314.461,1.89916,1.11305,0.95148,0.4346,0.47151,0.45778,0.20896,2.38451,1.74456,1.22744,0.000344998,0.000344998,0.000344998
117,316.906,1.91466,1.10933,0.9506,0.43899,0.49497,0.46583,0.23741,2.38984,1.71672,1.22568,0.000343163,0.000343163,0.000343163
118,319.356,1.92657,1.17195,0.96418,0.46267,0.49342,0.45355,0.21917,2.42435,1.73442,1.23625,0.000341328,0.000341328,0.000341328
119,321.848,1.9532,1.14935,0.95904,0.47615,0.52105,0.46639,0.23561,2.41877,1.74628,1.24156,0.000339494,0.000339494,0.000339494
120,324.342,2.00442,1.14809,0.95056,0.40981,0.4762,0.44935,0.21808,2.43117,1.7271,1.24783,0.000337659,0.000337659,0.000337659
121,326.869,1.95544,1.10773,0.95181,0.41334,0.57591,0.47202,0.22963,2.42241,1.79091,1.24531,0.000335824,0.000335824,0.000335824
122,329.651,1.938,1.15389,0.95168,0.49955,0.52951,0.49493,0.24745,2.416,1.73053,1.25701,0.000333989,0.000333989,0.000333989
123,332.165,1.90108,1.09349,0.958,0.58275,0.46731,0.49905,0.24419,2.4244,1.71756,1.25303,0.000332154,0.000332154,0.000332154
124,334.715,1.92588,1.10612,0.94078,0.47368,0.5267,0.49564,0.23424,2.39176,1.78921,1.23286,0.00033032,0.00033032,0.00033032
125,337.19,1.95605,1.08813,0.9373,0.4998,0.49862,0.4677,0.21657,2.40808,1.74533,1.23817,0.000328485,0.000328485,0.000328485
126,339.756,1.91807,1.11758,0.94402,0.46388,0.4669,0.45402,0.21903,2.39622,1.77859,1.24109,0.00032665,0.00032665,0.00032665
127,342.326,1.88969,1.0742,0.94548,0.48942,0.48808,0.44829,0.21212,2.40871,1.73129,1.235,0.000324815,0.000324815,0.000324815
128,344.842,1.93151,1.11997,0.93968,0.46245,0.48652,0.46686,0.22337,2.42422,1.69095,1.24739,0.00032298,0.00032298,0.00032298
129,347.39,1.91198,1.10932,0.9444,0.47271,0.45034,0.46567,0.21568,2.44038,1.76165,1.26502,0.000321146,0.000321146,0.000321146
130,350.058,1.89596,1.07829,0.95042,0.44407,0.52263,0.45162,0.20411,2.42768,1.76249,1.24979,0.000319311,0.000319311,0.000319311
131,352.591,1.88346,1.08398,0.93895,0.50135,0.47127,0.46737,0.21635,2.39395,1.75486,1.23424,0.000317476,0.000317476,0.000317476
132,355.082,1.89712,1.09141,0.9366,0.52121,0.45172,0.49044,0.23392,2.42607,1.7515,1.2599,0.000315641,0.000315641,0.000315641
133,357.503,1.89148,1.09121,0.94676,0.42483,0.53081,0.46203,0.20446,2.42657,1.77498,1.25789,0.000313806,0.000313806,0.000313806
134,359.856,1.9273,1.13648,0.95963,0.44703,0.5343,0.4613,0.21654,2.42565,1.76547,1.25698,0.000311972,0.000311972,0.000311972
135,362.437,1.87832,1.07408,0.94008,0.46431,0.50769,0.46356,0.21807,2.41008,1.69426,1.23789,0.000310137,0.000310137,0.000310137
